Date,Open,High,Low,Close,Adj Close,Volume
4/14/1998,27.1875,28.25,27.125,28.09375,15.281395,3855800
4/15/1998,28.09375,28.8125,27.9375,28.3125,15.400374,4040600
4/16/1998,28.3125,28.75,28,28.09375,15.349162,3176200
4/17/1998,28.09375,28.71875,27.9375,28.375,15.502817,3756200
4/20/1998,28.375,28.4375,28.03125,28.4375,15.536968,2715400
4/21/1998,28.4375,28.5,28.15625,28.4375,15.536968,1803000
4/22/1998,28.4375,29.125,28.40625,28.78125,15.724785,2695600
4/23/1998,28.78125,29.125,28.71875,29.03125,15.861367,3342800
4/24/1998,29,29,28.4375,28.46875,15.554047,3429400
4/27/1998,28.09375,28.09375,27.65625,27.6875,15.127199,2899800
4/28/1998,27.6875,27.84375,27.59375,27.6875,15.127199,2403400
4/29/1998,27.6875,27.90625,27.5,27.59375,15.075981,1522000
4/30/1998,27.6875,28.5625,27.6875,28.46875,15.554047,1292200
5/1/1998,28.46875,28.8125,28.25,28.5625,15.605254,938600
5/4/1998,28.5625,28.78125,28.1875,28.375,15.502817,1527200
5/5/1998,28.375,28.375,27.71875,27.96875,15.280864,1662400
5/6/1998,27.96875,28.03125,27.65625,27.6875,15.127199,1170200
5/7/1998,27.6875,27.9375,27.4375,27.65625,15.110128,1637800
5/8/1998,27.6875,28.0625,27.6875,27.90625,15.246718,1219000
5/11/1998,27.90625,28.09375,27.75,27.78125,15.178418,928400
5/12/1998,27.875,28.5,27.875,28.46875,15.554047,1448800
5/13/1998,28.46875,28.8125,28.375,28.4375,15.536968,1245600
5/14/1998,28.4375,29.4375,28.4375,29.4375,16.083321,2363400
5/15/1998,29.4375,29.59375,28.8125,28.90625,15.793075,2925400
5/18/1998,28.90625,29.5,28.75,29.1875,15.946736,1916600
5/19/1998,29.1875,29.46875,28.96875,29.28125,15.997958,1271800
5/20/1998,29.28125,29.875,29.25,29.875,16.322355,1887800
5/21/1998,29.875,30.375,29.6875,30.34375,16.578461,2125600
5/22/1998,30.3125,30.3125,28.9375,29.28125,15.997958,1941600
5/26/1998,29.28125,29.5,28.3125,28.3125,15.468669,1610800
5/27/1998,28.3125,28.53125,27.875,28.375,15.502817,2414400
5/28/1998,28.375,28.375,27.84375,28.25,15.434527,1253200
5/29/1998,28.21875,28.21875,27.46875,27.46875,15.007685,1828000
6/1/1998,27.46875,28.0625,27.40625,27.625,15.093059,2157200
6/2/1998,27.625,27.8125,27.09375,27.375,14.956467,2095000
6/3/1998,27.375,28,27.25,27.28125,14.905251,1461200
6/4/1998,27.28125,27.6875,26.9375,27.65625,15.110128,1286400
6/5/1998,27.65625,28.40625,27.46875,28.25,15.434527,1477800
6/8/1998,28.1875,28.1875,27.84375,27.96875,15.280864,2375600
6/9/1998,27.96875,28.1875,27.5,28.15625,15.383307,2439600
6/10/1998,28,28,26.75,26.9375,14.717437,4462400
6/11/1998,26.9375,26.96875,26.125,26.15625,14.290599,3952600
6/12/1998,26.15625,26.3125,25.53125,26,14.205229,4203200
6/15/1998,26,27.34375,25.875,26.1875,14.307672,3728800
6/16/1998,26.1875,26.46875,25.9375,26.25,14.341816,2073000
6/17/1998,27,27.5,27,27.15625,14.836946,3152400
